M卷,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分
记忆,1,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,4,3,4,62
,2,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,3,1,3,3,3,57
,6,5,5,5,5,5,5,5,35,5,5,3,4,3,4,4,3,5,5,5,4,2,4,3,4,63
,7,5,5,5,5,5,5,5,35,5,4,3,5,2,4,4,5,5,5,5,4,1,4,3,4,63
,11,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,1,3,3,3,59
,12,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,2,4,3,4,62
,13,5,5,4,5,5,5,5,34,5,4,2,5,1,4,4,5,5,5,5,4,1,4,3,4,61
,8,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,9,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,10,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,,5,5,4.9,5,5,5,5,34.9,5,4.8,2.9,4.3,1.5,4,4,3.6,5,5,5,3.8,1.2,3.5,3,3.5,60.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
理解,1,5,5,4,5,5,5,5,34,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66
,2,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66
,3,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,3,5,5,5,4,2,3,3,5,63
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,1,5,5,4,5,5,5,5,34,5,5,4,5,2,4,4,1,5,5,5,4,2,3,3,3,60
,13,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,3,5,5,5,4,2,4,3,3,61
,14,5,5,5,5,5,5,5,35,5,5,2,5,4,4,4,3,5,3,5,4,3,4,3,3,62
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,3,4,3,4,64
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,4,5,5,5,4,4,3,4,70
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70
,18,5,5,4,5,5,5,5,34,5,5,2,5,2,4,4,1,5,5,4,4,2,4,3,3,58
,19,5,5,4,5,5,5,5,34,5,5,2,4,2,4,4,5,5,5,5,4,3,4,3,4,64
,9,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
,,5,5,4.76470588235294,5,5,5,5,34.7647058823529,4.94117647058824,4.94117647058824,2.82352941176471,4.88235294117647,2.58823529411765,4.17647058823529,4.11764705882353,3.47058823529412,4.94117647058824,4.88235294117647,4.94117647058824,4.11764705882353,2.52941176470588,3.88235294117647,3,3.76470588235294,64
,,,,,,,,,,,,,,,,,,,,,,,,,,
应用,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69
,5,5,5,5,5,5,5,5,35,5,5,3,5,4,3,5,5,5,5,5,5,3,4,3,4,69
,8,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69
,9,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70
,10,5,5,3,5,5,5,5,33,5,5,2,5,5,5,4,5,5,5,4,4,4,4,3,4,69
,11,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69
,12,5,5,4,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,5,3,4,3,4,68
,13,5,5,5,5,5,5,5,35,5,5,2,5,3,4,5,5,5,5,5,5,3,4,3,4,68
,14,5,5,4,5,5,5,5,34,5,5,3,5,4,4,4,5,5,5,5,4,3,4,3,4,68
,15,5,5,4,5,5,5,5,34,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62
,16,5,5,4,5,5,5,5,34,5,4,3,4,2,4,4,5,5,5,5,4,2,4,3,4,63
,25,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,3,3,4,3,4,67
,39,5,5,5,5,5,5,5,35,5,4,3,4,2,3,4,5,5,4,5,3,2,4,3,4,60
,40,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62
,41,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,3,3,3,3,3,64
,42,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69
,43,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,3,4,3,4,63
,18,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60
,19,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,2,3,3,59
,20,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60
,21,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,3,3,4,61
,22,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62
,23,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,4,3,3,60
,24,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62
,,5,4.88,4.76,5,5,5,4.88,34.52,5,4.56,2.92,4.56,2.4,3.96,4.2,5,5,4.96,4.96,3.96,2.64,3.76,3,3.88,64.76
,,,,,,,,,,,,,,,,,,,,,,,,,,
分析,19,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,3,4,3,4,67
,20,5,5,5,5,5,5,5,35,5,5,3,4,3,5,4,5,5,5,5,4,3,4,3,4,67
,21,5,5,5,5,5,5,5,35,5,5,2,4,3,5,4,5,5,5,5,4,2,4,3,4,65
,22,5,5,4,5,5,5,4,33,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66
,23,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66
,24,5,5,4,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68
,25,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68
,26,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68
,27,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68
,28,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68
,29,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64
,31,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64
,32,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64
,15,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62
,16,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62
,17,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63
,18,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63
,,4.83333333333333,5,4.66666666666667,5,5,5,4.88888888888889,34.3888888888889,4.61111111111111,4.77777777777778,2.61111111111111,4.88888888888889,2.77777777777778,4.88888888888889,4,4.66666666666667,5,5,5,3.77777777777778,2.83333333333333,4,3,3.77777777777778,65.6111111111111
