source,item_id,machine_run,machine_proxy_quality_score
Human,H001,machine_run_1,4.55
Human,H001,machine_run_2,4.5
Human,H001,machine_run_3,4.616666666666666
Human,H001,machine_run_4,4.516666666666667
Human,H002,machine_run_1,4.333333333333333
Human,H002,machine_run_2,4.333333333333333
Human,H002,machine_run_3,4.3
Human,H002,machine_run_4,4.3
Human,H003,machine_run_1,4.216666666666667
Human,H003,machine_run_2,4.183333333333333
Human,H003,machine_run_3,4.183333333333333
Human,H003,machine_run_4,4.116666666666666
Human,H004,machine_run_1,4.116666666666666
Human,H004,machine_run_2,3.95
Human,H004,machine_run_3,4.116666666666666
Human,H004,machine_run_4,4.1
Human,H005,machine_run_1,4.216666666666667
Human,H005,machine_run_2,4.216666666666667
Human,H005,machine_run_3,4.2
Human,H005,machine_run_4,4.216666666666667
Human,H006,machine_run_1,4.333333333333333
Human,H006,machine_run_2,4.333333333333334
Human,H006,machine_run_3,4.333333333333333
Human,H006,machine_run_4,4.383333333333333
Human,H007,machine_run_1,4.333333333333333
Human,H007,machine_run_2,4.333333333333333
Human,H007,machine_run_3,4.316666666666666
Human,H007,machine_run_4,4.333333333333333
Human,H008,machine_run_1,4.216666666666667
Human,H008,machine_run_2,4.266666666666667
Human,H008,machine_run_3,4.083333333333334
Human,H008,machine_run_4,4.283333333333333
Human,H009,machine_run_1,4.333333333333333
Human,H009,machine_run_2,4.383333333333333
Human,H009,machine_run_3,4.333333333333333
Human,H009,machine_run_4,4.222222222222222
Human,H010,machine_run_1,4.433333333333333
Human,H010,machine_run_2,4.433333333333333
Human,H010,machine_run_3,4.322222222222222
Human,H010,machine_run_4,4.2
Human,H011,machine_run_1,4.333333333333333
Human,H011,machine_run_2,4.188888888888888
Human,H011,machine_run_3,4.266666666666667
Human,H011,machine_run_4,4.333333333333333
Human,H012,machine_run_1,4.55
Human,H012,machine_run_2,4.433333333333334
Human,H012,machine_run_3,4.5
Human,H012,machine_run_4,4.516666666666667
Human,H013,machine_run_1,4.333333333333333
Human,H013,machine_run_2,4.333333333333333
Human,H013,machine_run_3,4.316666666666666
Human,H013,machine_run_4,4.333333333333333
Human,H014,machine_run_1,4.55
Human,H014,machine_run_2,4.416666666666666
Human,H014,machine_run_3,4.483333333333333
Human,H014,machine_run_4,4.55
Human,H015,machine_run_1,4.333333333333333
Human,H015,machine_run_2,4.333333333333333
Human,H015,machine_run_3,4.3
Human,H015,machine_run_4,4.333333333333333
Human,H016,machine_run_1,4.216666666666667
Human,H016,machine_run_2,4.216666666666667
Human,H016,machine_run_3,4.266666666666667
Human,H016,machine_run_4,4.116666666666666
Human,H017,machine_run_1,4.216666666666667
Human,H017,machine_run_2,4.183333333333333
Human,H017,machine_run_3,4.15
Human,H017,machine_run_4,4.116666666666666
Human,H018,machine_run_1,4.55
Human,H018,machine_run_2,4.483333333333333
Human,H018,machine_run_3,4.516666666666667
Human,H018,machine_run_4,4.55
Human,H019,machine_run_1,4.433333333333333
Human,H019,machine_run_2,4.4
Human,H019,machine_run_3,4.433333333333333
Human,H019,machine_run_4,4.25
Human,H020,machine_run_1,4.216666666666667
Human,H020,machine_run_2,4.133333333333334
Human,H020,machine_run_3,4.216666666666667
Human,H020,machine_run_4,4.333333333333333
Human,H021,machine_run_1,4.333333333333333
Human,H021,machine_run_2,4.3
Human,H021,machine_run_3,4.316666666666666
Human,H021,machine_run_4,4.333333333333333
Human,H022,machine_run_1,4.333333333333333
Human,H022,machine_run_2,4.383333333333333
Human,H022,machine_run_3,4.333333333333333
Human,H022,machine_run_4,4.2333333333333325
Human,H023,machine_run_1,4.433333333333333
Human,H023,machine_run_2,4.433333333333333
Human,H023,machine_run_3,4.3
Human,H023,machine_run_4,4.433333333333333
Human,H024,machine_run_1,4.55
Human,H024,machine_run_2,4.45
Human,H024,machine_run_3,4.55
Human,H024,machine_run_4,4.483333333333333
Human,H025,machine_run_1,4.333333333333333
Human,H025,machine_run_2,4.266666666666667
Human,H025,machine_run_3,4.35
Human,H025,machine_run_4,4.3
Human,H026,machine_run_1,4.55
Human,H026,machine_run_2,4.55
Human,H026,machine_run_3,4.516666666666667
Human,H026,machine_run_4,4.472222222222222
Human,H027,machine_run_1,4.55
Human,H027,machine_run_2,4.55
Human,H027,machine_run_3,4.516666666666667
Human,H027,machine_run_4,4.472222222222222
Human,H028,machine_run_1,4.55
Human,H028,machine_run_2,4.466666666666667
Human,H028,machine_run_3,4.555555555555555
Human,H028,machine_run_4,4.55
Human,H029,machine_run_1,4.55
Human,H029,machine_run_2,4.466666666666667
Human,H029,machine_run_3,4.555555555555555
Human,H029,machine_run_4,4.55
Human,H030,machine_run_1,4.55
Human,H030,machine_run_2,4.466666666666667
Human,H030,machine_run_3,4.555555555555555
Human,H030,machine_run_4,4.55
Human,H031,machine_run_1,4.55
Human,H031,machine_run_2,4.505555555555556
Human,H031,machine_run_3,4.483333333333333
Human,H031,machine_run_4,4.433333333333334
Human,H032,machine_run_1,4.55
Human,H032,machine_run_2,4.505555555555556
Human,H032,machine_run_3,4.483333333333333
Human,H032,machine_run_4,4.433333333333334
Human,H033,machine_run_1,4.55
Human,H033,machine_run_2,4.55
Human,H033,machine_run_3,4.433333333333334
Human,H033,machine_run_4,4.516666666666667
Human,H034,machine_run_1,4.55
Human,H034,machine_run_2,4.55
Human,H034,machine_run_3,4.433333333333334
Human,H034,machine_run_4,4.516666666666667
Human,H035,machine_run_1,4.55
Human,H035,machine_run_2,4.466666666666667
Human,H035,machine_run_3,4.55
Human,H035,machine_run_4,4.55
Human,H036,machine_run_1,4.55
Human,H036,machine_run_2,4.466666666666667
Human,H036,machine_run_3,4.55
Human,H036,machine_run_4,4.55
Human,H037,machine_run_1,4.55
Human,H037,machine_run_2,4.466666666666667
Human,H037,machine_run_3,4.55
Human,H037,machine_run_4,4.55
Human,H038,machine_run_1,4.55
Human,H038,machine_run_2,4.6
Human,H038,machine_run_3,4.416666666666666
Human,H038,machine_run_4,4.433333333333334
Human,H039,machine_run_1,4.55
Human,H039,machine_run_2,4.6
Human,H039,machine_run_3,4.416666666666666
Human,H039,machine_run_4,4.433333333333334
Human,H040,machine_run_1,4.55
Human,H040,machine_run_2,4.483333333333333
Human,H040,machine_run_3,4.466666666666667
Human,H040,machine_run_4,4.583333333333333
Human,H041,machine_run_1,4.55
Human,H041,machine_run_2,4.483333333333333
Human,H041,machine_run_3,4.466666666666667
Human,H041,machine_run_4,4.583333333333333
Human,H042,machine_run_1,4.55
Human,H042,machine_run_2,4.483333333333333
Human,H042,machine_run_3,4.466666666666667
Human,H042,machine_run_4,4.583333333333333
Human,H043,machine_run_1,4.366666666666666
Human,H043,machine_run_2,4.316666666666666
Human,H043,machine_run_3,4.333333333333333
Human,H043,machine_run_4,4.333333333333333
Human,H044,machine_run_1,4.366666666666666
Human,H044,machine_run_2,4.333333333333333
Human,H044,machine_run_3,4.333333333333333
Human,H044,machine_run_4,4.466666666666667
Human,H045,machine_run_1,4.483333333333333
Human,H045,machine_run_2,4.45
Human,H045,machine_run_3,4.466666666666667
Human,H045,machine_run_4,4.483333333333333
Human,H046,machine_run_1,4.366666666666666
Human,H046,machine_run_2,4.416666666666666
Human,H046,machine_run_3,4.333333333333333
Human,H046,machine_run_4,4.316666666666666
Human,H047,machine_run_1,4.266666666666667
Human,H047,machine_run_2,4.266666666666667
Human,H047,machine_run_3,4.333333333333334
Human,H047,machine_run_4,4.266666666666667
Human,H048,machine_run_1,4.266666666666667
Human,H048,machine_run_2,4.2333333333333325
Human,H048,machine_run_3,4.266666666666667
Human,H048,machine_run_4,4.2
Human,H049,machine_run_1,4.266666666666667
Human,H049,machine_run_2,4.2
Human,H049,machine_run_3,4.266666666666667
Human,H049,machine_run_4,4.266666666666667
Human,H050,machine_run_1,4.266666666666667
Human,H050,machine_run_2,4.216666666666667
Human,H050,machine_run_3,4.266666666666667
Human,H050,machine_run_4,4.266666666666667
MAS,M001,machine_run_1,4.272222222222222
MAS,M001,machine_run_2,4.272222222222222
MAS,M001,machine_run_3,4.272222222222222
MAS,M001,machine_run_4,4.138888888888888
MAS,M002,machine_run_1,3.988888888888889
MAS,M002,machine_run_2,3.922222222222222
MAS,M002,machine_run_3,4.055555555555555
MAS,M002,machine_run_4,4.038888888888889
MAS,M003,machine_run_1,4.505555555555556
MAS,M003,machine_run_2,4.438888888888888
MAS,M003,machine_run_3,4.505555555555556
MAS,M003,machine_run_4,4.455555555555556
MAS,M004,machine_run_1,4.688888888888888
MAS,M004,machine_run_2,4.688888888888888
MAS,M004,machine_run_3,4.755555555555556
MAS,M004,machine_run_4,4.605555555555556
MAS,M005,machine_run_1,4.688888888888888
MAS,M005,machine_run_2,4.655555555555556
MAS,M005,machine_run_3,4.455555555555556
MAS,M005,machine_run_4,4.655555555555556
MAS,M006,machine_run_1,4.205555555555556
MAS,M006,machine_run_2,4.255555555555556
MAS,M006,machine_run_3,4.222222222222222
MAS,M006,machine_run_4,4.205555555555556
MAS,M007,machine_run_1,4.238888888888889
MAS,M007,machine_run_2,4.188888888888888
MAS,M007,machine_run_3,4.238888888888889
MAS,M007,machine_run_4,4.172222222222223
MAS,M008,machine_run_1,4.688888888888888
MAS,M008,machine_run_2,4.688888888888888
MAS,M008,machine_run_3,4.622222222222222
MAS,M008,machine_run_4,4.622222222222222
MAS,M009,machine_run_1,4.688888888888888
MAS,M009,machine_run_2,4.622222222222222
MAS,M009,machine_run_3,4.688888888888888
MAS,M009,machine_run_4,4.605555555555556
MAS,M010,machine_run_1,4.688888888888888
MAS,M010,machine_run_2,4.555555555555555
MAS,M010,machine_run_3,4.738888888888889
MAS,M010,machine_run_4,4.655555555555556
MAS,M011,machine_run_1,4.622222222222222
MAS,M011,machine_run_2,4.672222222222223
MAS,M011,machine_run_3,4.622222222222222
MAS,M011,machine_run_4,4.633333333333333
MAS,M012,machine_run_1,4.572222222222222
MAS,M012,machine_run_2,4.53888888888889
MAS,M012,machine_run_3,4.55
MAS,M012,machine_run_4,4.53888888888889
MAS,M013,machine_run_1,4.638888888888888
MAS,M013,machine_run_2,4.683333333333334
MAS,M013,machine_run_3,4.605555555555556
MAS,M013,machine_run_4,4.572222222222222
MAS,M014,machine_run_1,4.522222222222222
MAS,M014,machine_run_2,4.522222222222222
MAS,M014,machine_run_3,4.405555555555556
MAS,M014,machine_run_4,4.555555555555555
MAS,M015,machine_run_1,4.255555555555556
MAS,M015,machine_run_2,4.138888888888888
MAS,M015,machine_run_3,4.255555555555556
MAS,M015,machine_run_4,4.138888888888888
MAS,M016,machine_run_1,4.255555555555556
MAS,M016,machine_run_2,4.188888888888888
MAS,M016,machine_run_3,4.238888888888889
MAS,M016,machine_run_4,4.205555555555556
MAS,M017,machine_run_1,3.988888888888889
MAS,M017,machine_run_2,3.905555555555556
MAS,M017,machine_run_3,4.172222222222223
MAS,M017,machine_run_4,3.988888888888889
MAS,M018,machine_run_1,4.138888888888888
MAS,M018,machine_run_2,4.138888888888888
MAS,M018,machine_run_3,4.105555555555556
MAS,M018,machine_run_4,4.138888888888888
MAS,M019,machine_run_1,4.255555555555556
MAS,M019,machine_run_2,4.255555555555556
MAS,M019,machine_run_3,4.188888888888888
MAS,M019,machine_run_4,4.188888888888888
MAS,M020,machine_run_1,4.338888888888889
MAS,M020,machine_run_2,4.288888888888889
MAS,M020,machine_run_3,4.272222222222222
MAS,M020,machine_run_4,4.305555555555555
MAS,M021,machine_run_1,4.622222222222222
MAS,M021,machine_run_2,4.605555555555556
MAS,M021,machine_run_3,4.455555555555556
MAS,M021,machine_run_4,4.622222222222222
MAS,M022,machine_run_1,4.322222222222222
MAS,M022,machine_run_2,4.255555555555556
MAS,M022,machine_run_3,4.322222222222222
MAS,M022,machine_run_4,4.205555555555556
MAS,M023,machine_run_1,4.205555555555556
MAS,M023,machine_run_2,4.138888888888888
MAS,M023,machine_run_3,4.288888888888889
MAS,M023,machine_run_4,4.322222222222222
MAS,M024,machine_run_1,4.238888888888889
MAS,M024,machine_run_2,4.188888888888888
MAS,M024,machine_run_3,4.288888888888889
MAS,M024,machine_run_4,4.255555555555556
MAS,M025,machine_run_1,4.488888888888889
MAS,M025,machine_run_2,4.505555555555556
MAS,M025,machine_run_3,4.488888888888889
MAS,M025,machine_run_4,4.388888888888888
MAS,M026,machine_run_1,4.622222222222222
MAS,M026,machine_run_2,4.622222222222222
MAS,M026,machine_run_3,4.455555555555556
MAS,M026,machine_run_4,4.622222222222222
MAS,M027,machine_run_1,4.622222222222222
MAS,M027,machine_run_2,4.622222222222222
MAS,M027,machine_run_3,4.455555555555556
MAS,M027,machine_run_4,4.622222222222222
MAS,M028,machine_run_1,4.622222222222222
MAS,M028,machine_run_2,4.622222222222222
MAS,M028,machine_run_3,4.455555555555556
MAS,M028,machine_run_4,4.622222222222222
MAS,M029,machine_run_1,4.355555555555556
MAS,M029,machine_run_2,4.388888888888888
MAS,M029,machine_run_3,4.355555555555556
MAS,M029,machine_run_4,4.366666666666666
MAS,M030,machine_run_1,4.355555555555556
MAS,M030,machine_run_2,4.388888888888888
MAS,M030,machine_run_3,4.355555555555556
MAS,M030,machine_run_4,4.366666666666666
MAS,M031,machine_run_1,4.355555555555556
MAS,M031,machine_run_2,4.388888888888888
MAS,M031,machine_run_3,4.355555555555556
MAS,M031,machine_run_4,4.366666666666666
MAS,M032,machine_run_1,4.422222222222223
MAS,M032,machine_run_2,4.422222222222223
MAS,M032,machine_run_3,4.583333333333334
MAS,M032,machine_run_4,4.522222222222222
MAS,M033,machine_run_1,4.422222222222223
MAS,M033,machine_run_2,4.422222222222223
MAS,M033,machine_run_3,4.583333333333334
MAS,M033,machine_run_4,4.522222222222222
MAS,M034,machine_run_1,4.422222222222223
MAS,M034,machine_run_2,4.422222222222223
MAS,M034,machine_run_3,4.583333333333334
MAS,M034,machine_run_4,4.522222222222222
MAS,M035,machine_run_1,4.672222222222223
MAS,M035,machine_run_2,4.716666666666667
MAS,M035,machine_run_3,4.638888888888888
MAS,M035,machine_run_4,4.555555555555555
MAS,M036,machine_run_1,4.672222222222223
MAS,M036,machine_run_2,4.716666666666667
MAS,M036,machine_run_3,4.638888888888888
MAS,M036,machine_run_4,4.555555555555555
MAS,M037,machine_run_1,4.672222222222223
MAS,M037,machine_run_2,4.716666666666667
MAS,M037,machine_run_3,4.638888888888888
MAS,M037,machine_run_4,4.555555555555555
MAS,M038,machine_run_1,4.355555555555556
MAS,M038,machine_run_2,4.388888888888888
MAS,M038,machine_run_3,4.355555555555556
MAS,M038,machine_run_4,4.355555555555556
MAS,M039,machine_run_1,4.355555555555556
MAS,M039,machine_run_2,4.388888888888888
MAS,M039,machine_run_3,4.355555555555556
MAS,M039,machine_run_4,4.355555555555556
MAS,M040,machine_run_1,4.355555555555556
MAS,M040,machine_run_2,4.388888888888888
MAS,M040,machine_run_3,4.355555555555556
MAS,M040,machine_run_4,4.355555555555556
MAS,M041,machine_run_1,4.355555555555556
MAS,M041,machine_run_2,4.355555555555556
MAS,M041,machine_run_3,4.272222222222222
MAS,M041,machine_run_4,4.238888888888889
MAS,M042,machine_run_1,4.355555555555556
MAS,M042,machine_run_2,4.355555555555556
MAS,M042,machine_run_3,4.272222222222222
MAS,M042,machine_run_4,4.238888888888889
MAS,M043,machine_run_1,4.116666666666666
MAS,M043,machine_run_2,4.166666666666666
MAS,M043,machine_run_3,4.133333333333334
MAS,M043,machine_run_4,4.116666666666666
MAS,M044,machine_run_1,4.116666666666666
MAS,M044,machine_run_2,4.15
MAS,M044,machine_run_3,4.016666666666667
MAS,M044,machine_run_4,4.116666666666666
MAS,M045,machine_run_1,4.222222222222222
MAS,M045,machine_run_2,4.222222222222222
MAS,M045,machine_run_3,4.288888888888889
MAS,M045,machine_run_4,4.222222222222222
MAS,M046,machine_run_1,4.322222222222222
MAS,M046,machine_run_2,4.322222222222222
MAS,M046,machine_run_3,4.272222222222222
MAS,M046,machine_run_4,4.438888888888888
MAS,M047,machine_run_1,4.755555555555556
MAS,M047,machine_run_2,4.705555555555556
MAS,M047,machine_run_3,4.722222222222222
MAS,M047,machine_run_4,4.655555555555556
MAS,M048,machine_run_1,4.755555555555556
MAS,M048,machine_run_2,4.655555555555556
MAS,M048,machine_run_3,4.722222222222222
MAS,M048,machine_run_4,4.705555555555556
MAS,M049,machine_run_1,4.116666666666666
MAS,M049,machine_run_2,4.05
MAS,M049,machine_run_3,4.1
MAS,M049,machine_run_4,4.116666666666666
MAS,M050,machine_run_1,4.405555555555556
MAS,M050,machine_run_2,4.355555555555556
MAS,M050,machine_run_3,4.455555555555556
MAS,M050,machine_run_4,4.405555555555556
